,Düz,Otomatik,YarıOtomatik,Dizel,Benzin/Lpg,Benzin,1300ccvealtı,1601-1800cc,1301-1600cc,6001ccveüzeri,ArabaYıl,Fiyat,Km
58,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,87.8,75.5
59,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,54.0,75.85
60,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,58.0,75.85
61,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,84.0,75.85
62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2015,82.0,75.9
63,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2017,30.0,75.9
64,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,90.0,75.9
65,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,90.0,75.9
66,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,108.0,76.45
67,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,197.0,76.75
68,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,75.0,76.9
69,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,75.0,76.9
70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2017,21.5,77.0
71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,63.0,77.2
72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,63.0,77.2
73,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,8.25,77.5
74,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,13.0,78.0
75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,500.0,78.0
76,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,45.0,78.0
77,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,11.5,78.5
78,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,65.0,78.5
79,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,100.0,78.75
80,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,48.0,78.85
81,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,6.0,78.9
82,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,72.0,78.9
83,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,88.0,79.45
84,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,99.0,79.85
85,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,106.0,79.9
86,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,83.0,79.95
87,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2017,64.0,80.0
88,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,539.0,80.0
89,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2017,46.0,80.0
90,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,67.5,80.75
91,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,110.0,80.9
92,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,4.3,81.0
93,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2016,53.0,81.0
